ALABAMA         EAST                   1                    NAD83       101
   0.6378137000000000D+07   0.6694380022900000D-02  -0.8550000000000000D+06
   0.9999600000000000D+00   0.0000000000000000D+00   0.0000000000000000D+00
   0.3030000000000000D+06   0.2000000000000000D+06   0.0000000000000000D+00
ALABAMA         WEST                   1                    NAD83       102
   0.6378137000000000D+07   0.6694380022900000D-02  -0.8730000000000000D+06
   0.9999333333333333D+00   0.0000000000000000D+00   0.0000000000000000D+00
   0.3000000000000000D+06   0.6000000000000000D+06   0.0000000000000000D+00
ALASKA          ZONE NO. 10            2                    NAD83      5010
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1760000000000000D+07
   0.1000000000000000D+01   0.5350000000000000D+06   0.5150000000000000D+06
   0.5100000000000000D+06   0.1000000000000000D+07   0.0000000000000000D+00
AMERICAN SAMOA                         0                    NAD83      5300
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1700000000000000D+07
   0.1000000000000000D+01  -0.1416000000000000D+06  -0.1416000000000000D+06
  -0.1416000000000000D+06   0.1524003048006096D+06   0.9516931165862332D+05
ARIZONA         EAST                   1                    NAD83       201
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1101000000000000D+07
   0.9999000000000000D+00   0.0000000000000000D+00   0.0000000000000000D+00
   0.3100000000000000D+06   0.2133600000000000D+06   0.0000000000000000D+00
ARIZONA         CENTRAL                1                    NAD83       202
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1115500000000000D+07
   0.9999000000000000D+00   0.0000000000000000D+00   0.0000000000000000D+00
   0.3100000000000000D+06   0.2133600000000000D+06   0.0000000000000000D+00
ARIZONA         WEST                   1                    NAD83       203
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1134500000000000D+07
   0.9999333333333333D+00   0.0000000000000000D+00   0.0000000000000000D+00
   0.3100000000000000D+06   0.2133600000000000D+06   0.0000000000000000D+00
ARKANSAS        NORTH                  2                    NAD83       301
   0.6378137000000000D+07   0.6694380022900000D-02  -0.9200000000000000D+06
   0.1000000000000000D+01   0.3614000000000000D+06   0.3456000000000000D+06
   0.3420000000000000D+06   0.4000000000000000D+06   0.0000000000000000D+00
ARKANSAS        SOUTH                  2                    NAD83       302
   0.6378137000000000D+07   0.6694380022900000D-02  -0.9200000000000000D+06
   0.1000000000000000D+01   0.3446000000000000D+06   0.3318000000000000D+06
   0.3240000000000000D+06   0.4000000000000000D+06   0.4000000000000000D+06
CALIFORNIA      I                      2                    NAD83       401
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1220000000000000D+07
   0.1000000000000000D+01   0.4140000000000000D+06   0.4000000000000000D+06
   0.3920000000000000D+06   0.2000000000000000D+07   0.5000000000000000D+06
CALIFORNIA      II                     2                    NAD83       402
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1220000000000000D+07
   0.1000000000000000D+01   0.3950000000000000D+06   0.3820000000000000D+06
   0.3740000000000000D+06   0.2000000000000000D+07   0.5000000000000000D+06
CALIFORNIA      III                    2                    NAD83       403
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1203000000000000D+07
   0.1000000000000000D+01   0.3826000000000000D+06   0.3704000000000000D+06
   0.3630000000000000D+06   0.2000000000000000D+07   0.5000000000000000D+06
CALIFORNIA      IV                     2                    NAD83       404
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1190000000000000D+07
   0.1000000000000000D+01   0.3715000000000000D+06   0.3600000000000000D+06
   0.3520000000000000D+06   0.2000000000000000D+07   0.5000000000000000D+06
CALIFORNIA      V                      2                    NAD83       405
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1180000000000000D+07
   0.1000000000000000D+01   0.3528000000000000D+06   0.3402000000000000D+06
   0.3330000000000000D+06   0.2000000000000000D+07   0.5000000000000000D+06
CALIFORNIA      VI                     2                    NAD83       406
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1161500000000000D+07
   0.1000000000000000D+01   0.3353000000000000D+06   0.3247000000000000D+06
   0.3210000000000000D+06   0.2000000000000000D+07   0.5000000000000000D+06
CALIFORNIA      VII                    0                    NAD83       407
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1182000000000000D+07
   0.1000000000000000D+01   0.3425000000000000D+06   0.3352000000000000D+06
   0.3408000000000000D+06   0.1276106450596901D+07   0.1268253006858014D+07
COLORADO        NORTH                  2                    NAD83       501
   0.6378137000000000D+07   0.6694380022900000D-02  -0.1053000000000000D+07
   0.1000000000000000D+01   0.4047000000000000D+06   0.3943000000000000D+06
